Flujo_ton_h,m_dot_kg_s,T_sal_actual_C,T_sal_propuesta_C,Alcanza_actual,Alcanza_propuesta,t_proceso_h
1,0.2777777777777778,70.93923239902004,65.8777719351924,Si,Si,24.0
2,0.5555555555555556,66.39144354283039,61.55772301513465,Si,Si,12.0
3,0.8333333333333334,63.671172217481676,59.65761759502458,Si,Si,8.0
4,1.1111111111111112,61.95978707238775,58.60525058007445,Si,Si,6.0
5,1.3888888888888888,60.80034220301889,57.939131199912666,Si,Si,4.8
6,1.6666666666666667,59.967304551358616,57.48017009705592,Si,Si,4.0
7,1.9444444444444444,59.34136093524103,57.14492591316733,Si,Si,3.4285714285714284
8,2.2222222222222223,58.85444059947159,56.88939179024347,Si,No,3.0
9,2.5,58.46514049709823,56.68819338078697,Si,No,2.6666666666666665
10,2.7777777777777777,58.14692106895145,56.52568222703029,Si,No,2.4
11,3.0555555555555554,57.8820206647007,56.39168747458244,Si,No,2.1818181818181817
12,3.3333333333333335,57.658118722824824,56.27931374838458,Si,No,2.0
13,3.611111111111111,57.466407558066095,56.183721645707,Si,No,1.8461538461538463
14,3.888888888888889,57.300427229147786,56.1014150181696,Si,No,1.7142857142857142
15,4.166666666666667,57.15533404792843,56.02980537336987,Si,No,1.6
16,4.444444444444445,57.02742591542854,55.96693539234756,Si,No,1.5
