Flujo_ton_h,m_dot_kg_s,Q_dot_kW,U_prom_W/m2K,LMTD_C,A_req_m2,Delta_T_agua_C,T_agua_media_C
1,0.2777777777777778,3.6022659756981312,36.13316456210314,18.95487773460636,5.259552441380755,0.05507980922453832,74.97246009538773
2,0.5555555555555556,4.785558709351464,36.13316456210314,18.945822870633826,6.9905794650572,0.0731727369722671,74.96341363151387
3,0.8333333333333334,5.968851443004798,36.13316456210314,18.936767998625104,8.723261918982097,0.09126566471999589,74.95436716764
4,1.1111111111111112,7.152144176658132,36.13316456210314,18.927713118568565,10.457602181204015,0.1093585924677247,74.94532070376613
5,1.3888888888888888,8.335436910311465,36.13316456210314,18.918658230452746,12.193602634332652,0.12745152021545347,74.93627423989227
6,1.6666666666666667,9.518729643964798,36.13316456210314,18.90960333426597,13.931265665549985,0.14554444796318225,74.92722777601841
7,1.9444444444444444,10.702022377618132,36.13316456210314,18.900548429996658,15.670593666621064,0.16363737571091105,74.91818131214455
8,2.2222222222222223,11.885315111271465,36.13316456210314,18.89149351763315,17.411589033905152,0.18173030345863986,74.90913484827068
9,2.5,13.068607844924799,36.13316456210314,18.882438597163816,19.154254168366677,0.19982323120636863,74.90008838439681
10,2.7777777777777777,14.251900578578132,36.13316456210314,18.873383668576977,20.89859147558639,0.2179161589540974,74.89104192052295
11,3.0555555555555554,15.435193312231464,36.13316456210314,18.86432873186091,22.64460336577245,0.2360090867018262,74.8819954566491
12,3.3333333333333335,16.618486045884797,36.13316456210314,18.855273787003924,24.392292253771505,0.254102014449555,74.87294899277522
13,3.611111111111111,17.801778779538132,36.13316456210314,18.84621883399423,26.141660559080027,0.2721949421972838,74.86390252890135
14,3.888888888888889,18.985071513191464,36.13316456210314,18.837163872820078,27.892710705855304,0.2902878699450126,74.85485606502749
15,4.166666666666667,20.168364246844803,36.13316456210314,18.828108903469666,29.645445122926866,0.3083807976927414,74.84580960115363
16,4.444444444444445,21.351656980498134,36.13316456210314,18.819053925931193,31.39986624380761,0.32647372544047015,74.83676313727977
