t_h,T_glucosa_C,U_W_m2C,Q_W,Q_acum_MJ,Q_perd_W,Q_perd_acum_MJ,Q_neto_acum_MJ,h_i_W_m2C,h_o_W_m2C,rho_kg_m3,Cp_J_kgC,mu_Pa_s,k_W_mC,Pr,beta_1C
0.000000e+00,4.000000e+01,3.110245e+01,1.524020e+04,4.572060e+00,0.000000e+00,0.000000e+00,4.572060e+00,1.112157e+04,3.173622e+01,1.413800e+03,2.112909e+03,1.353433e+01,3.241229e-01,8.822828e+04,3.819494e-04
8.333333e-02,4.009010e+01,3.114276e+01,1.522067e+04,9.138261e+00,0.000000e+00,0.000000e+00,9.138261e+00,1.112267e+04,3.177817e+01,1.413751e+03,2.113011e+03,1.339875e+01,3.242203e-01,8.732243e+04,3.819625e-04
1.666667e-01,4.018009e+01,3.118293e+01,1.520102e+04,1.369857e+01,0.000000e+00,0.000000e+00,1.369857e+01,1.112377e+04,3.181999e+01,1.413703e+03,2.113114e+03,1.326492e+01,3.243175e-01,8.642852e+04,3.819756e-04
2.500000e-01,4.026996e+01,3.122297e+01,1.518125e+04,1.825294e+01,0.000000e+00,0.000000e+00,1.825294e+01,1.112486e+04,3.186167e+01,1.413654e+03,2.113216e+03,1.313282e+01,3.244145e-01,8.554638e+04,3.819887e-04
3.333333e-01,4.035971e+01,3.126286e+01,1.516137e+04,2.280135e+01,0.000000e+00,0.000000e+00,2.280135e+01,1.112596e+04,3.190321e+01,1.413606e+03,2.113318e+03,1.300243e+01,3.245113e-01,8.467583e+04,3.820018e-04
4.166667e-01,4.044934e+01,3.130262e+01,1.514137e+04,2.734376e+01,0.000000e+00,0.000000e+00,2.734376e+01,1.112705e+04,3.194461e+01,1.413557e+03,2.113420e+03,1.287371e+01,3.246079e-01,8.381670e+04,3.820149e-04
5.000000e-01,4.053885e+01,3.134225e+01,1.512126e+04,3.188014e+01,0.000000e+00,0.000000e+00,3.188014e+01,1.112815e+04,3.198587e+01,1.413509e+03,2.113522e+03,1.274665e+01,3.247042e-01,8.296882e+04,3.820280e-04
5.833333e-01,4.062824e+01,3.138173e+01,1.510104e+04,3.641045e+01,0.000000e+00,0.000000e+00,3.641045e+01,1.112923e+04,3.202698e+01,1.413461e+03,2.113623e+03,1.262122e+01,3.248004e-01,8.213202e+04,3.820410e-04
6.666667e-01,4.071750e+01,3.142107e+01,1.508070e+04,4.093466e+01,0.000000e+00,0.000000e+00,4.093466e+01,1.113032e+04,3.206795e+01,1.413413e+03,2.113724e+03,1.249740e+01,3.248963e-01,8.130613e+04,3.820541e-04
7.500000e-01,4.080665e+01,3.146027e+01,1.506025e+04,4.545273e+01,0.000000e+00,0.000000e+00,4.545273e+01,1.113141e+04,3.210877e+01,1.413364e+03,2.113825e+03,1.237516e+01,3.249920e-01,8.049099e+04,3.820671e-04
