t_h,T_glucosa_C,U_W_m2C,Q_W,Q_acum_MJ,Q_perd_W,Q_perd_acum_MJ,Q_neto_acum_MJ,h_i_W_m2C,h_o_W_m2C,rho_kg_m3,Cp_J_kgC,mu_Pa_s,k_W_mC,Pr,beta_1C
0.000000e+00,4.000000e+01,3.110245e+01,1.524020e+04,4.572060e+00,1.640336e+03,4.921008e-01,4.079960e+00,1.112157e+04,3.173622e+01,1.413800e+03,2.112909e+03,1.353433e+01,3.241229e-01,8.822828e+04,3.819494e-04
8.333333e-02,4.001226e+01,3.110794e+01,1.523755e+04,9.143326e+00,1.641825e+03,9.846484e-01,8.158678e+00,1.112172e+04,3.174193e+01,1.413793e+03,2.112923e+03,1.351579e+01,3.241362e-01,8.810440e+04,3.819511e-04
1.666667e-01,4.002451e+01,3.111343e+01,1.523490e+04,1.371380e+01,1.643314e+03,1.477643e+00,1.223615e+01,1.112187e+04,3.174764e+01,1.413787e+03,2.112937e+03,1.349729e+01,3.241494e-01,8.798077e+04,3.819529e-04
2.500000e-01,4.003676e+01,3.111891e+01,1.523225e+04,1.828347e+01,1.644803e+03,1.971083e+00,1.631239e+01,1.112202e+04,3.175335e+01,1.413780e+03,2.112951e+03,1.347882e+01,3.241627e-01,8.785737e+04,3.819547e-04
3.333333e-01,4.004901e+01,3.112439e+01,1.522959e+04,2.285235e+01,1.646291e+03,2.464971e+00,2.038738e+01,1.112217e+04,3.175905e+01,1.413774e+03,2.112965e+03,1.346039e+01,3.241759e-01,8.773421e+04,3.819565e-04
4.166667e-01,4.006125e+01,3.112986e+01,1.522694e+04,2.742043e+01,1.647779e+03,2.959304e+00,2.446113e+01,1.112232e+04,3.176475e+01,1.413767e+03,2.112979e+03,1.344199e+01,3.241892e-01,8.761128e+04,3.819583e-04
5.000000e-01,4.007349e+01,3.113534e+01,1.522428e+04,3.198771e+01,1.649266e+03,3.454084e+00,2.853363e+01,1.112247e+04,3.177045e+01,1.413760e+03,2.112993e+03,1.342362e+01,3.242024e-01,8.748860e+04,3.819601e-04
5.833333e-01,4.008573e+01,3.114080e+01,1.522162e+04,3.655420e+01,1.650752e+03,3.949310e+00,3.260489e+01,1.112261e+04,3.177614e+01,1.413754e+03,2.113006e+03,1.340529e+01,3.242156e-01,8.736615e+04,3.819619e-04
6.666667e-01,4.009796e+01,3.114627e+01,1.521896e+04,4.111989e+01,1.652239e+03,4.444981e+00,3.667491e+01,1.112276e+04,3.178183e+01,1.413747e+03,2.113020e+03,1.338700e+01,3.242288e-01,8.724394e+04,3.819636e-04
7.500000e-01,4.011019e+01,3.115173e+01,1.521629e+04,4.568478e+01,1.653724e+03,4.941099e+00,4.074368e+01,1.112291e+04,3.178752e+01,1.413740e+03,2.113034e+03,1.336874e+01,3.242420e-01,8.712197e+04,3.819654e-04
8.333333e-01,4.012241e+01,3.115719e+01,1.521363e+04,5.024886e+01,1.655210e+03,5.437662e+00,4.481120e+01,1.112306e+04,3.179320e+01,1.413734e+03,2.113048e+03,1.335051e+01,3.242553e-01,8.700023e+04,3.819672e-04
9.166667e-01,4.013463e+01,3.116265e+01,1.521096e+04,5.481215e+01,1.656695e+03,5.934670e+00,4.887748e+01,1.112321e+04,3.179888e+01,1.413727e+03,2.113062e+03,1.333232e+01,3.242685e-01,8.687873e+04,3.819690e-04
1.000000e+00,4.014685e+01,3.116810e+01,1.520829e+04,5.937464e+01,1.658179e+03,6.432124e+00,5.294252e+01,1.112336e+04,3.180456e+01,1.413721e+03,2.113076e+03,1.331417e+01,3.242817e-01,8.675746e+04,3.819708e-04
1.083333e+00,4.015906e+01,3.117355e+01,1.520562e+04,6.393633e+01,1.659663e+03,6.930023e+00,5.700630e+01,1.112351e+04,3.181023e+01,1.413714e+03,2.113090e+03,1.329605e+01,3.242948e-01,8.663642e+04,3.819726e-04
1.166667e+00,4.017127e+01,3.117900e+01,1.520295e+04,6.849721e+01,1.661147e+03,7.428367e+00,6.106884e+01,1.112366e+04,3.181590e+01,1.413708e+03,2.113104e+03,1.327796e+01,3.243080e-01,8.651562e+04,3.819743e-04
1.250000e+00,4.018348e+01,3.118444e+01,1.520027e+04,7.305729e+01,1.662630e+03,7.927156e+00,6.513014e+01,1.112381e+04,3.182157e+01,1.413701e+03,2.113118e+03,1.325991e+01,3.243212e-01,8.639505e+04,3.819761e-04
1.333333e+00,4.019568e+01,3.118988e+01,1.519760e+04,7.761657e+01,1.664112e+03,8.426389e+00,6.919018e+01,1.112396e+04,3.182723e+01,1.413694e+03,2.113132e+03,1.324189e+01,3.243344e-01,8.627472e+04,3.819779e-04
1.416667e+00,4.020788e+01,3.119532e+01,1.519492e+04,8.217505e+01,1.665594e+03,8.926068e+00,7.324898e+01,1.112411e+04,3.183289e+01,1.413688e+03,2.113146e+03,1.322391e+01,3.243475e-01,8.615461e+04,3.819797e-04
