Flujo_ton_h,m_dot_kg_s,T_sal_actual_C,T_sal_propuesta_C,Alcanza_actual,Alcanza_propuesta,t_proceso_h
1,0.2777777777777778,64.58858252835466,49.19214037374965,Si,No,24.0
2,0.5555555555555556,50.67348614778712,37.978768866409176,No,No,12.0
3,0.8333333333333334,43.17861248155312,33.758546389170505,No,No,8.0
4,1.1111111111111112,38.92595155985882,31.59384152354462,No,No,6.0
5,1.3888888888888888,36.24674175595159,30.28316946648453,No,No,4.8
6,1.6666666666666667,34.41837124954724,29.405794302615366,No,No,4.0
7,1.9444444444444444,33.09557096594482,28.77776286933886,No,No,3.4285714285714284
8,2.2222222222222223,32.095826139819735,28.30617192065526,No,No,3.0
9,2.5,31.314415769933422,27.939113916848772,No,No,2.6666666666666665
10,2.7777777777777777,30.687217823675116,27.64533500901785,No,No,2.4
11,3.0555555555555554,30.17286947581008,27.404900909949095,No,No,2.1818181818181817
12,3.3333333333333335,29.74353242396932,27.20450144286116,No,No,2.0
13,3.611111111111111,29.379800996458233,27.03491181571323,No,No,1.8461538461538463
14,3.888888888888889,29.067742792895103,26.889537713640202,No,No,1.7142857142857142
15,4.166666666666667,28.797100719781614,26.763540513639796,No,No,1.6
16,4.444444444444445,28.560158550205234,26.653289684228465,No,No,1.5
