Perdidas termicas con area real expuesta — W2605

Parametros del modelo
Temperatura ambiente (°C),26.5
Nivel de llenado (%),80.0
Espesor aislamiento (mm),50.8
Conductividad aislamiento (W/m·K),0.045
h_ext (W/m²·K),15.0
h_int (W/m²·K),28.0

Resultados principales
T_glucosa (°C),T_ambiente (°C),Delta_T (K),A_total (m²),U (W/m²·K),R_total (m²·K/W),Q (W),Q (kW),Q (MJ/h),Masa glucosa (ton),Cp (J/kg·°C),t_3C (h),t_3C (d)
57.0,26.5,30.5,149.67,0.812,1.2318,3705.9,3.706,13.34,250.4,2130.9,120.0,5.0
60.0,26.5,33.5,149.67,0.812,1.2318,4070.5,4.07,14.65,250.1,2133.8,109.2,4.55

Analisis de sensibilidad — espesor de aislamiento
T_glucosa (°C),Espesor (mm),U (W/m²·K),Q (MJ/h),t_3C (dias)
57.0,0.0,9.715,159.66,0.42
57.0,12.7,2.596,42.67,1.56
57.0,25.4,1.498,24.63,2.71
57.0,38.1,1.053,17.31,3.85
57.0,50.8,0.812,13.34,5.0
57.0,76.2,0.557,9.15,7.29
57.0,101.6,0.424,6.96,9.58
60.0,0.0,9.715,175.36,0.38
60.0,12.7,2.596,46.87,1.42
60.0,25.4,1.498,27.05,2.47
60.0,38.1,1.053,19.01,3.51
60.0,50.8,0.812,14.65,4.55
60.0,76.2,0.557,10.05,6.64
60.0,101.6,0.424,7.65,8.72
